                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1446,                 2.9327,                 1.7868,                0.26052,                0.33784,                0.20596,                 0.0692,                 2.1087,                 3.1166,                 2.0244,             0.00065359,             0.00065359,             0.00065359
                      2,                 2.1381,                 1.8796,                 1.7707,                0.08882,                0.23273,                0.05529,                0.01981,                  2.559,                 4.1432,                 2.3693,              0.0013072,              0.0013072,              0.0013072
                      3,                 2.2111,                 1.8558,                 1.8732,                 0.0764,                 0.4009,                0.04529,                0.01413,                  2.625,                 17.165,                 4.1563,              0.0019476,              0.0019476,              0.0019476
                      4,                 2.1776,                 1.8595,                 1.8138,                0.40591,                0.31682,                0.26333,                0.09126,                 2.5869,                 3.2621,                 2.5165,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.1598,                 1.8323,                 1.7822,                 0.2293,                0.29842,                0.23179,                0.10237,                 2.1812,                 4.7176,                 2.0766,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.0952,                 1.7428,                 1.7537,                0.50887,                0.50751,                0.48674,                 0.1787,                  2.143,                 3.4814,                 1.9727,               0.001901,               0.001901,               0.001901
                      7,                 2.0865,                 1.7026,                  1.741,                0.40493,                0.43544,                0.37167,                0.13414,                 2.0921,                 3.0774,                 1.9178,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.0474,                 1.6798,                 1.6911,                0.61047,                0.51952,                 0.5672,                0.23143,                 2.0018,                  1.738,                 1.8424,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.0547,                  1.613,                 1.6968,                 0.5279,                0.50751,                 0.5188,                0.20475,                  2.031,                 2.1301,                 1.8973,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.0669,                 1.6413,                 1.7068,                0.50175,                0.52703,                0.49368,                 0.2031,                 2.0584,                 1.7297,                 1.9205,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.9694,                 1.5339,                 1.6318,                0.67078,                0.53453,                 0.6128,                0.25555,                 2.0048,                  1.668,                  1.828,               0.001802,               0.001802,               0.001802
                     12,                 1.9749,                 1.5483,                 1.6464,                0.52222,                0.48743,                0.48697,                0.21145,                 1.9872,                 1.7313,                 1.8073,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.9873,                 1.5326,                 1.6546,                0.62846,                0.53303,                0.57607,                0.21941,                 2.0889,                 1.7024,                 1.9014,              0.0017624,              0.0017624,              0.0017624
